"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "CSS", "Docker", "MS SQL", "Prisma", "comment", "blank", "total"
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/distributors/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 61
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/distributors/_components/create-distributor-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 11, 202
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/distributors/_components/distributors-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 8, 90
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/distributors/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/embed-preview/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/_components/funds-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 17, 253
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/commissions/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 7, 138
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/expected-profit/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 7, 120
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/inventory-cost/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 7, 114
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/net-profit/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 9, 118
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/funds/procurement/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 7, 138
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 10, 2, 16
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/inventory/master-catalog/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 13, 124
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/inventory/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 6, 101
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/inventory/tenants/[tenantId]/_components/tenant-inventory-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 16, 303
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/inventory/tenants/[tenantId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 12, 139
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 4, 36
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/login/_components/login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 9, 99
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/[id]/_components/merchant-detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 0, 0, 21, 512
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/_components/approve-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 9, 84
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/_components/merchants-filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/_components/merchants-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 10, 168
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/_components/reject-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/new/_components/create-merchant-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 10, 208
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/new/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/merchants/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 11, 121
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/orders/[id]/_components/order-detail-ship-actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/orders/[id]/_components/order-detail-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 14, 227
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/orders/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/orders/_components/orders-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 23, 378
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 11, 118
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 6, 143
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/procurement/_components/procurement-status-tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/procurement/_components/procurement-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 9, 153
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/procurement/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 11, 103
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/app/replenishment/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
