"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "Docker", "DotENV", "YAML", "Prisma", "MS SQL", "JavaScript", "comment", "blank", "total"
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260706100000_customer_delivery_addresses/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 4, 25
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260706120000_withdrawal_mock_payout_and_legacy_cleanup/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 2, 14
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260707120000_master_sku_media_content/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 1, 14, 59
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260709100000_ai_call_logging/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 13, 15, 65
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, -2, 7, 65
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/seed.ts", "TypeScript", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 285
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/ai.module.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/diagnosis.controller.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/diagnosis.service.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 190
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/prompts/diagnosis-system-prompt.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/tools/base.tool.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/tools/commission.tool.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 171
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/tools/fund.tool.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 119
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/tools/inventory.tool.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/ai/diagnosis/tools/order.tool.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
